TIME,x,y,CRS
51.75,-33.4638164511,-96.5513963772,-337.790034067
52.0,-35.6178139853,-98.3053473436,-339.702302798
52.25,-37.7095397235,-100.133114509,-332.211198574
52.5,-40.0300700498,-101.659937479,-333.813632604
52.75,-42.3051376013,-103.253711934,-325.361362696
53.0,-44.7973576165,-104.480451016,-326.98649945
53.25,-47.2522474165,-105.78028387,-318.539426257
53.5,-49.8770899113,-106.689267509,-319.45028513
53.75,-52.4865194034,-107.641594712,-310.683382068
54.0,-55.2140263763,-108.16766989,-310.896449819
54.25,-57.9394748939,-108.704307343,-303.156865004
54.5,-60.7132496844,-108.853380446,-303.720737616
54.75,-63.4853503978,-109.030882591,-295.042712684
55.0,-66.2509072058,-108.770604047,-295.386295415
55.25,-69.0180359907,-108.527606788,-285.70651773
55.5,-71.6998738604,-107.803869943,-285.880267636
55.75,-74.378972394,-107.089944536,-275.66943933
56.0,-76.8849322844,-105.891522911,-273.252284631
56.25,-79.3358208944,-104.5841613,-261.16093213
56.5,-81.4426164639,-102.773785172,-254.661936825
56.75,-83.3163190096,-100.733088296,-239.095918089
57.0,-84.5250798195,-98.2917879471,-229.452266443
57.25,-85.2726546723,-95.7344854377,-211.734833283
57.5,-85.1739837046,-93.1205627607,-198.396121664
57.75,-84.4547798593,-90.6218310892,-185.000151332
58.0,-83.1331872213,-88.3339104702,-174.724488528
58.25,-81.3704541184,-86.2857735666,-166.395057261
58.5,-79.2714524342,-84.4863373377,-160.582829638
58.75,-76.9836157609,-82.910947629,-156.846870814
59.0,-74.5941266375,-81.4944762707,-154.627549821
59.25,-72.1494416272,-80.1755507317,-154.958114677
59.5,-69.7127278232,-78.841955886,-151.512747857
59.75,-67.1973076713,-77.6635201281,-155.105509676
60.0,-64.7641765256,-76.3233999074,-150.630150037
60.25,-62.2301704228,-75.185479679,-154.972443502
60.5,-59.7938041362,-73.8512500565,-150.664674715
60.75,-57.2605128303,-72.711739403,-155.628044401
61.0,-54.8402232904,-71.3485637287,-151.215840989
61.25,-52.3184782633,-70.1837240849,-156.85012536
61.5,-49.9290729618,-68.7671113346,-152.529739564
61.75,-47.4358717473,-67.5423676534,-158.111170718
62.0,-45.0795718599,-66.071347524,-153.966163672
62.25,-42.6192036405,-64.7819144702,-160.006213056
62.5,-40.3149767126,-63.2305964369,-155.997364895
62.75,-37.9038952857,-61.8511995734,-161.74656402
63.0,-35.6499016011,-60.2277582172,-157.881448759
63.25,-33.2874781834,-58.7665925969,-163.990561913
63.5,-31.1015782476,-57.0525649282,-159.930872148
63.75,-28.7952284323,-55.504404759,-165.911005583
64.0,-26.6704977086,-53.7151119585,-162.284143486
64.25,-24.4324792312,-52.0697175764,-168.382740877
64.5,-22.3902786667,-50.1867767312,-164.322197204
64.75,-20.2147535342,-48.4595999097,-170.021684716
65.0,-18.2295610301,-46.5166485241,-166.505906383
65.25,-16.1243078864,-44.7044789485,-171.61606696
65.5,-14.1962653281,-42.7048036571,-167.013239249
65.75,-12.1078173858,-40.8732921033,-172.317566368
66.0,-10.2054358868,-38.8491888423,-167.562838896
66.25,-8.13539369339,-36.9968998002,-172.437776889
66.5,-6.23744070746,-34.9686434448,-167.487699571
66.75,-4.16486990572,-33.119184159,-172.598935426
67.0,-2.27286816514,-31.085375222,-167.724918356
67.25,-0.208293461641,-29.226994026,-172.457233306
67.5,1.68894190347,-27.1980663912,-167.547506528
67.75,3.75950037962,-25.3463544875,-172.569766348
68.0,5.65258047834,-23.3135492535,-167.375755697
68.25,7.728911269,-21.4683121883,-172.378862744
68.5,9.62903576518,-19.4420900196,-167.546475698
68.75,11.6996289467,-17.5904169231,-172.637258987
69.0,13.5902130864,-15.5552901481,-167.527424772
69.25,15.6614475272,-13.7043343756,-172.480420466
69.5,17.5578273589,-11.6746070755,-167.741031757
69.75,19.6218575226,-9.8156210985,-172.671381913
70.0,21.5111786717,-7.77932176484,-167.576704218
70.25,23.5807538435,-5.92651093051,-172.321473787
70.5,25.4829915365,-3.90227252284,-167.542681973
70.75,27.5537124346,-2.05074225456,-172.214138643
71.0,29.4598969019,-0.0302200067438,-167.081738238
71.25,31.5460621943,1.80389115443,-171.977487967
71.5,33.4609227709,3.8161929089,-166.855642525
71.75,35.5546101364,5.64171272376,-171.309673369
72.0,37.4937624966,7.63061631735,-165.791826189
72.25,39.622365445,9.41530084649,-169.8525724
72.5,41.6135226846,11.3521390497,-165.225077542
72.75,43.7604026164,13.1147949825,-166.963091534
73.0,45.8505196199,14.9444015774,-159.602720295
73.25,48.1660652683,16.4787736731,-160.989897949
73.5,50.442179546,18.0710529119,-152.384961147
73.75,52.9385960542,19.2892294169,-153.613429115
74.0,55.4071832111,20.5628568449,-144.650415678
74.25,58.0497012396,21.4190973763,-144.857607057
74.5,60.6889749682,22.2852864805,-135.033073973
74.75,63.4401576776,22.6687484461,-134.547790052
75.0,66.1946166687,23.0279211687,-123.434538134
75.25,68.9651186271,22.8270025915,-122.413673438
75.5,71.7168279443,22.5760281731,-111.137443722
75.75,74.3601173081,21.7699987671,-106.01608982
76.0,76.9236594553,20.7189592579,-92.0954558432
76.25,79.1066886272,19.0861367679,-82.3455260412
76.5,80.9249041464,17.1396118287,-65.9421899305
76.75,82.0635262047,14.8009453972,-48.7220464072
77.0,82.41867507,12.280644185,-29.6464438919
77.25,81.9035979621,9.82598567356,-13.5194077114
77.5,80.6847288273,7.59514964622,-0.543601551644
77.75,78.9423574154,5.67145384703,9.16867308626
78.0,76.83970278,4.04552423193,15.9880039376
78.25,74.4983192394,2.66028807224,19.7371379751
78.5,72.0168249832,1.41199498332,21.1633436463
78.75,69.5037991052,0.228462004892,18.9228153541
79.0,67.0410582185,-1.05643359325,13.9106088525
79.25,64.7054684685,-2.56011903114,9.36357799002
79.5,62.5020289581,-4.25153964782,-0.732060157666
79.75,60.644337455,-6.31673495511,-5.56962822325
80.0,59.0127935406,-8.48717221894,-16.586850274
80.25,57.8726019803,-10.8824160927,-29.0196925019
80.5,57.3044983514,-13.4441781854,-41.6552283408
80.75,57.3344909346,-16.0507812134,-55.7175082675
81.0,58.028478832,-18.5860962154,-68.2292551073
81.25,59.2998859767,-20.943164993,-79.2088363753
81.5,61.0339866373,-23.0259464819,-89.2709103594
81.75,63.1661259212,-24.7984432618,-97.6592282541
82.0,65.5471693262,-26.2290660928,-104.52161628
82.25,68.0877400682,-27.3522533809,-110.658457467
82.5,70.7375764932,-28.1855698284,-114.677937946
82.75,73.4411856009,-28.8231803479,-119.650964756
83.0,76.1913238798,-29.2140624589,-122.590108327
83.25,78.9584146738,-29.4574919475,-129.480808976
83.5,81.7342355651,-29.3532434034,-131.177977182
83.75,84.5055186542,-29.1634028993,-138.435931218
84.0,87.2277276891,-28.6105671673,-137.975706612
84.25,89.9544673427,-28.0805292069,-145.010223566
84.5,92.5913273725,-27.2070198697,-144.335632288
84.75,95.2387026455,-26.3659172936,-151.134593614
85.0,97.7621656512,-25.2048041041,-149.51228673
85.25,100.318774772,-24.1186184924,-156.046210618
85.5,102.728630205,-22.7370808796,-153.217188833
85.75,105.206328901,-21.481270962,-159.318550915
86.0,107.529771273,-19.9588830596,-155.827233178
